spot,nuclei_count
spot_1,5
spot_10,9
spot_100,8
spot_101,8
spot_102,6
spot_103,5
spot_104,10
spot_105,8
spot_106,11
spot_107,3
spot_108,9
spot_109,6
spot_11,5
spot_110,8
spot_111,6
spot_112,5
spot_113,7
spot_114,4
spot_115,4
spot_116,5
spot_117,10
spot_118,6
spot_119,5
spot_12,7
spot_120,8
spot_121,7
spot_122,6
spot_123,7
spot_124,6
spot_125,6
spot_126,4
spot_127,7
spot_128,4
spot_129,5
spot_13,8
spot_130,4
spot_131,7
spot_132,5
spot_133,6
spot_134,7
spot_135,6
spot_136,5
spot_137,5
spot_138,2
spot_139,1
spot_14,6
spot_140,6
spot_141,5
spot_142,8
spot_143,4
spot_144,7
spot_145,12
spot_146,7
spot_147,1
spot_148,4
spot_149,4
spot_15,6
spot_150,5
spot_151,8
spot_152,3
spot_153,2
spot_154,6
spot_155,5
spot_156,7
spot_157,8
spot_158,6
spot_159,5
spot_16,5
spot_160,4
spot_161,4
spot_162,3
spot_163,4
spot_164,2
spot_165,5
spot_166,6
spot_167,6
spot_168,4
spot_169,9
spot_17,5
spot_170,3
spot_171,7
spot_172,3
spot_173,8
spot_174,4
spot_175,7
spot_176,6
spot_177,2
spot_178,7
spot_179,5
spot_18,3
spot_180,9
spot_181,4
spot_182,4
spot_183,3
spot_184,3
spot_185,3
spot_186,7
spot_187,6
spot_188,7
spot_189,3
spot_19,5
spot_190,5
spot_191,6
spot_192,3
spot_193,6
spot_194,9
spot_195,7
spot_196,4
spot_197,8
spot_198,5
spot_199,8
spot_2,1
spot_20,6
spot_200,2
spot_201,6
spot_202,7
spot_203,4
spot_204,4
spot_205,9
spot_206,4
spot_207,2
spot_208,3
spot_209,6
spot_21,2
spot_210,3
spot_211,8
spot_212,2
spot_213,2
spot_214,2
spot_215,3
spot_216,6
spot_217,7
spot_218,4
spot_219,6
spot_22,2
spot_220,4
spot_221,7
spot_222,3
spot_223,4
spot_224,10
spot_225,1
spot_226,3
spot_227,4
spot_228,7
spot_229,7
spot_23,3
spot_230,7
spot_231,6
spot_232,7
spot_234,9
spot_235,6
spot_236,6
