spot,nuclei_count
spot_1,1
spot_10,8
spot_100,8
spot_101,6
spot_102,8
spot_103,6
spot_104,4
spot_105,2
spot_106,6
spot_107,7
spot_108,1
spot_109,7
spot_11,4
spot_110,3
spot_111,5
spot_112,4
spot_113,1
spot_114,2
spot_115,7
spot_116,8
spot_117,7
spot_118,4
spot_119,4
spot_12,5
spot_120,3
spot_121,7
spot_122,7
spot_123,7
spot_124,5
spot_125,6
spot_126,4
spot_127,3
spot_128,3
spot_129,4
spot_13,4
spot_130,3
spot_131,13
spot_132,8
spot_133,11
spot_134,7
spot_135,4
spot_136,8
spot_137,3
spot_138,9
spot_139,4
spot_14,8
spot_140,6
spot_141,8
spot_142,3
spot_143,5
spot_144,7
spot_145,5
spot_146,3
spot_147,5
spot_148,2
spot_149,2
spot_15,5
spot_150,4
spot_151,5
spot_152,3
spot_153,4
spot_154,6
spot_155,11
spot_156,4
spot_157,7
spot_158,4
spot_159,8
spot_16,2
spot_160,10
spot_161,4
spot_162,8
spot_163,2
spot_164,5
spot_165,11
spot_166,9
spot_167,3
spot_168,8
spot_169,4
spot_17,8
spot_170,3
spot_171,6
spot_172,5
spot_173,7
spot_174,5
spot_175,2
spot_176,2
spot_177,5
spot_178,4
spot_179,5
spot_18,4
spot_180,8
spot_181,6
spot_182,1
spot_183,3
spot_184,3
spot_185,4
spot_186,3
spot_187,5
spot_188,5
spot_19,5
spot_190,7
spot_191,7
spot_192,3
spot_193,5
spot_194,5
spot_195,10
spot_196,8
spot_197,7
spot_198,2
spot_199,2
spot_2,2
spot_20,5
spot_200,3
spot_201,5
spot_202,3
spot_203,4
spot_204,2
spot_205,2
spot_206,6
spot_207,6
spot_208,4
spot_209,7
spot_21,4
spot_210,5
spot_211,5
spot_212,7
spot_213,3
spot_214,1
spot_215,4
spot_216,6
spot_217,6
spot_218,8
spot_22,3
spot_220,4
spot_221,4
spot_222,10
spot_223,3
spot_224,9
spot_225,4
spot_226,8
spot_227,5
spot_228,2
spot_229,4
spot_23,5
spot_230,4
spot_231,6
spot_232,6
spot_233,5
spot_234,7
spot_235,9
spot_236,5
spot_237,9
spot_238,5
spot_239,6
spot_24,8
spot_240,6
spot_241,6
spot_242,10
spot_243,8
spot_244,6
spot_245,3
spot_246,2
spot_247,3
spot_248,7
spot_249,4
spot_25,4
spot_250,3
spot_251,7
spot_252,2
spot_253,2
spot_254,2
spot_255,5
spot_256,2
spot_257,6
spot_258,5
spot_259,4
spot_26,6
spot_260,2
spot_261,3
spot_262,5
spot_263,6
spot_264,4
spot_265,9
spot_266,7
spot_267,3
spot_268,3
spot_269,7
spot_27,3
spot_270,3
spot_271,6
spot_272,7
spot_273,5
spot_274,4
spot_275,8
spot_276,4
spot_277,3
spot_278,6
spot_279,10
spot_28,4
spot_280,4
spot_281,6
spot_282,2
spot_283,4
spot_284,7
spot_285,3
spot_286,4
spot_287,11
spot_288,8
spot_289,4
spot_29,8
spot_290,5
spot_291,9
spot_292,10
spot_293,3
spot_294,8
spot_295,3
spot_296,3
spot_297,8
spot_298,4
spot_299,8
spot_3,6
spot_30,4
spot_300,3
spot_301,7
spot_302,6
spot_303,2
spot_304,6
spot_305,6
spot_306,5
spot_307,5
spot_308,2
spot_309,7
spot_31,3
spot_310,4
spot_311,3
spot_312,2
spot_313,6
spot_314,3
spot_315,2
spot_316,3
spot_317,1
spot_319,6
spot_32,7
spot_320,7
spot_321,7
spot_322,5
spot_323,4
spot_324,6
spot_325,5
spot_326,6
spot_327,4
spot_328,1
spot_329,4
spot_33,7
spot_330,5
spot_331,4
spot_332,9
spot_333,2
spot_334,3
spot_335,9
spot_336,7
spot_337,4
spot_338,8
spot_339,5
spot_34,7
spot_340,6
spot_341,3
spot_342,5
spot_343,7
spot_345,10
spot_346,1
spot_347,5
spot_348,4
spot_349,9
spot_35,7
spot_350,4
spot_351,4
spot_352,2
spot_353,5
spot_354,4
spot_355,5
spot_356,5
spot_357,6
spot_358,10
spot_359,6
spot_36,5
spot_360,1
spot_361,9
spot_362,3
spot_363,12
spot_364,3
spot_365,9
spot_366,5
spot_367,11
spot_368,4
spot_369,3
spot_37,5
spot_370,3
spot_371,6
spot_372,9
spot_373,6
spot_374,9
spot_375,2
spot_376,3
spot_377,5
spot_378,7
spot_379,5
spot_38,3
spot_380,6
spot_381,8
spot_382,8
spot_383,2
spot_384,8
spot_385,5
spot_386,8
spot_387,6
spot_388,3
spot_389,9
spot_39,11
spot_390,7
spot_391,2
spot_392,6
spot_393,5
spot_394,6
spot_395,5
spot_396,7
spot_397,7
spot_398,4
spot_399,7
spot_4,3
spot_40,5
spot_400,4
spot_401,5
spot_402,6
spot_403,5
spot_404,7
spot_405,3
spot_406,5
spot_407,3
spot_408,6
spot_409,4
spot_41,4
spot_410,4
spot_411,5
spot_412,4
spot_413,4
spot_414,9
spot_415,4
spot_416,4
spot_417,7
spot_418,3
spot_419,3
spot_42,6
spot_420,4
spot_421,7
spot_422,5
spot_423,6
spot_424,6
spot_425,6
spot_426,4
