,B cells,CD8+ T cells,Endothelial,Epithelial,Macrophages,Mixed Immune,Myofibroblasts,Proliferating T,Stromal,Vascular Stromal,n_cells,spot_x,spot_y
spot_92,0.1,0.13333333333333333,0.03333333333333333,0.0,0.2,0.06666666666666667,0.0,0.0,0.2,0.26666666666666666,30,,
spot_93,0.3333333333333333,0.16666666666666666,0.047619047619047616,0.0,0.11904761904761904,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.0,0.0,42,,
spot_94,0.6,0.1111111111111111,0.022222222222222223,0.0,0.022222222222222223,0.06666666666666667,0.08888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,45,,
spot_95,0.4857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.14285714285714285,0.02857142857142857,0.08571428571428572,0.0,0.02857142857142857,0.14285714285714285,35,,
spot_96,0.07692307692307693,0.38461538461538464,0.0,0.0,0.3076923076923077,0.0,0.0,0.0,0.19230769230769232,0.038461538461538464,26,,
spot_97,0.02040816326530612,0.7346938775510204,0.0,0.0,0.14285714285714285,0.061224489795918366,0.0,0.0,0.04081632653061224,0.0,49,,
spot_98,0.0,0.07692307692307693,0.0,0.23076923076923078,0.5384615384615384,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,13,,
spot_99,0.0,0.1111111111111111,0.0,0.2777777777777778,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,18,,
spot_100,0.0,0.21052631578947367,0.0,0.3157894736842105,0.3684210526315789,0.10526315789473684,0.0,0.0,0.0,0.0,19,,
spot_101,0.0,0.05,0.0,0.2,0.2,0.15,0.1,0.0,0.25,0.05,20,,
spot_102,0.0,0.13333333333333333,0.0,0.0,0.4,0.06666666666666667,0.0,0.0,0.4,0.0,15,,
spot_103,0.0,0.0,0.5384615384615384,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,13,,
spot_104,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,7,,
spot_206,0.5306122448979592,0.2653061224489796,0.0,0.0,0.10204081632653061,0.04081632653061224,0.0,0.0,0.061224489795918366,0.0,49,,
spot_207,0.1,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.5,20,,
