,B cells,T cells,Macrophages,Endothelial,Epithelial,Fibroblasts,n_cells,spot_x,spot_y
spot_46,0.05714285714285714,0.2571428571428571,0.2,0.2571428571428571,0.0,0.22857142857142856,35,4629.009207010269,30.870081901550293
spot_47,0.0,0.52,0.32,0.04,0.0,0.12,25,4729.009207010269,30.870081901550293
spot_48,0.029411764705882353,0.6176470588235294,0.11764705882352941,0.17647058823529413,0.0,0.058823529411764705,34,4829.009207010269,30.870081901550293
spot_49,0.0,0.0,0.375,0.125,0.0,0.5,8,4929.009207010269,30.870081901550293
spot_50,0.0,0.2,0.2,0.0,0.4,0.2,5,5029.009207010269,30.870081901550293
spot_51,0.0,0.23529411764705882,0.11764705882352941,0.0,0.6470588235294118,0.0,17,5129.009207010269,30.870081901550293
spot_52,0.0,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.0,12,5229.009207010269,30.870081901550293
spot_53,0.0,0.2222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.0,9,5329.009207010269,30.870081901550293
spot_54,0.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.0,14,5429.009207010269,30.870081901550293
spot_55,0.0,0.2222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.0,9,5529.009207010269,30.870081901550293
spot_56,0.0,0.4117647058823529,0.23529411764705882,0.0,0.35294117647058826,0.0,17,5629.009207010269,30.870081901550293
spot_57,0.0,0.25,0.5833333333333334,0.0,0.16666666666666666,0.0,12,5729.009207010269,30.870081901550293
spot_58,0.0,0.1875,0.3125,0.0,0.5,0.0,16,5829.009207010269,30.870081901550293
spot_59,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.0,9,5929.009207010269,30.870081901550293
spot_60,0.0,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.0,0.38461538461538464,13,6029.009207010269,30.870081901550293
spot_61,0.0,0.08333333333333333,0.5,0.16666666666666666,0.0,0.25,12,6129.009207010269,30.870081901550293
spot_62,0.0,0.18181818181818182,0.45454545454545453,0.0,0.36363636363636365,0.0,11,6229.009207010269,30.870081901550293
spot_63,0.0,0.43478260869565216,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.08695652173913043,23,6329.009207010269,30.870081901550293
spot_64,0.0,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.42105263157894735,19,6429.009207010269,30.870081901550293
spot_65,0.0,0.5,0.2222222222222222,0.05555555555555555,0.0,0.2222222222222222,36,6529.009207010269,30.870081901550293
spot_66,0.030303030303030304,0.5454545454545454,0.18181818181818182,0.21212121212121213,0.0,0.030303030303030304,33,6629.009207010269,30.870081901550293
spot_67,0.0,0.6666666666666666,0.15384615384615385,0.10256410256410256,0.0,0.07692307692307693,39,6729.009207010269,30.870081901550293
spot_68,0.0,0.6666666666666666,0.10256410256410256,0.10256410256410256,0.0,0.1282051282051282,39,6829.009207010269,30.870081901550293
spot_161,0.04,0.78,0.1,0.02,0.0,0.06,50,4679.009207010269,117.47262227999416
spot_162,0.0,0.8297872340425532,0.06382978723404255,0.0425531914893617,0.0,0.06382978723404255,47,4779.009207010269,117.47262227999416
spot_163,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.6363636363636364,11,4879.009207010269,117.47262227999416
spot_164,0.0,0.13333333333333333,0.7333333333333333,0.0,0.13333333333333333,0.0,15,4979.009207010269,117.47262227999416
spot_165,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,12,5079.009207010269,117.47262227999416
spot_166,0.0,0.0,0.125,0.0,0.875,0.0,8,5179.009207010269,117.47262227999416
spot_167,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,6,5279.009207010269,117.47262227999416
spot_168,0.0,0.18181818181818182,0.2727272727272727,0.0,0.5454545454545454,0.0,11,5379.009207010269,117.47262227999416
spot_169,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,7,5479.009207010269,117.47262227999416
spot_170,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,9,5579.009207010269,117.47262227999416
spot_171,0.0,0.0,0.4,0.0,0.6,0.0,10,5679.009207010269,117.47262227999416
spot_172,0.0,0.0,0.8181818181818182,0.0,0.18181818181818182,0.0,11,5779.009207010269,117.47262227999416
spot_173,0.1111111111111111,0.05555555555555555,0.7222222222222222,0.0,0.1111111111111111,0.0,18,5879.009207010269,117.47262227999416
spot_174,0.0,0.0,0.7857142857142857,0.0,0.21428571428571427,0.0,14,5979.009207010269,117.47262227999416
spot_175,0.0,0.09090909090909091,0.6363636363636364,0.0,0.2727272727272727,0.0,11,6079.009207010269,117.47262227999416
spot_176,0.2,0.2,0.3,0.0,0.3,0.0,10,6179.009207010269,117.47262227999416
spot_177,0.0,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.15384615384615385,13,6279.009207010269,117.47262227999416
spot_178,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,15,6379.009207010269,117.47262227999416
spot_179,0.0,0.1875,0.625,0.0,0.1875,0.0,16,6479.009207010269,117.47262227999416
spot_180,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,7,6579.009207010269,117.47262227999416
spot_181,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,9,6679.009207010269,117.47262227999416
spot_182,0.0,0.26666666666666666,0.2,0.4,0.0,0.13333333333333333,15,6779.009207010269,117.47262227999416
spot_275,0.025,0.525,0.2,0.075,0.0,0.175,40,4629.009207010269,204.07516265843802
spot_276,0.04,0.36,0.24,0.0,0.0,0.36,25,4729.009207010269,204.07516265843802
spot_277,0.0,0.07692307692307693,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.15384615384615385,13,4829.009207010269,204.07516265843802
spot_278,0.0,0.2631578947368421,0.5789473684210527,0.0,0.15789473684210525,0.0,19,4929.009207010269,204.07516265843802
spot_279,0.0,0.5909090909090909,0.36363636363636365,0.0,0.045454545454545456,0.0,22,5029.009207010269,204.07516265843802
spot_280,0.0,0.4375,0.3125,0.0,0.25,0.0,16,5129.009207010269,204.07516265843802
spot_281,0.0,0.46153846153846156,0.23076923076923078,0.0,0.3076923076923077,0.0,13,5229.009207010269,204.07516265843802
spot_282,0.0,0.4,0.2,0.0,0.4,0.0,10,5329.009207010269,204.07516265843802
spot_283,0.0,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,9,5429.009207010269,204.07516265843802
